id,title,slug,description,category
1,Node.js Behind the Scenes,node-behind-scenes,This beginner-friendly course demystifies how Node.js really works under the hood.,Backend Framework
2,Problem Solving for Developers: Think Like an Engineer!,problem-solving-interview, This course helps developers go beyond memorizing algorithms & level up there problem solving skills. ,Problem Solving
